id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,lyrics,description,album,release_year,popularity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,"Waking up to the city lights, feeling alive and bright...",An uplifting pop song about morning energy in the city.,Urban Sunrise,2022,90
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,"Coding late into the night, beats keeping me right...",Chill lofi beats perfect for late-night coding sessions.,Late Night Sessions,2021,85
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,"Running through the storm, thunder in my veins...",High-energy rock track with intense guitar riffs.,Thunder Road,2023,78
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,"Rain tapping on the window, books all around...",Peaceful lofi music for studying in the library.,Study Beats,2020,82
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,"Pumping iron, feeling strong, hero in the gym...",Motivational pop song for workout sessions.,Fitness Anthems,2024,88
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,"Floating in space, thoughts drifting away...",Ambient electronic music evoking space exploration.,Cosmic Journeys,2022,70
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,"Sipping coffee, stories unfolding slow...",Relaxed jazz for coffee shop atmospheres.,Cafe Vibes,2019,75
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,"Driving through the night, neon lights flashing...",Synthwave track for nighttime drives.,Retro Nights,2023,80
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,"Focused on the task, flow state achieved...",Lofi beats to maintain concentration.,Productivity Beats,2021,87
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,"Lights on the rooftop, dancing in the night...",Indie pop song about city rooftop parties.,City Nights,2022,76
11,City Cipher,Night Verse,hip hop,confident,0.74,96,0.62,0.81,0.12,"Decoding the city, verses flowing free...",Confident hip hop with clever wordplay.,Urban Poetry,2024,79
12,Glass Aurora,North Quartet,classical,peaceful,0.22,64,0.58,0.18,0.97,"Aurora lights dancing, glass instruments playing...",Peaceful classical piece inspired by northern lights.,Northern Lights,2018,65
13,Island Signal,Golden Tide,reggae,optimistic,0.55,88,0.83,0.77,0.61,"Island vibes calling, signal strong and clear...",Optimistic reggae about island life.,Tropical Waves,2020,72
14,Dust Road Anthem,Cedar Miles,country,nostalgic,0.49,102,0.68,0.59,0.73,"Driving down the dust road, memories in the wind...",Nostalgic country song about rural life.,Country Roads,2019,74
15,Neon Lift,Pulse Harbor,house,euphoric,0.88,126,0.79,0.91,0.08,"Elevator rising, neon lights lifting spirits...",Euphoric house music for clubbing.,Club Essentials,2023,83
16,Velvet Afterglow,June Meridian,r&b,romantic,0.52,84,0.74,0.69,0.44,"After the sunset, velvet skies glowing...",Romantic R&B ballad about love's afterglow.,Love Songs,2021,81
17,Iron Horizon,Black Atlas,metal,rebellious,0.94,168,0.41,0.47,0.03,"Iron will against the horizon, rebellion rising...",Heavy metal track with rebellious themes.,Metal Mayhem,2022,69
18,Pine Trail Letters,Hollow Creek,folk,wistful,0.36,76,0.57,0.42,0.91,"Walking pine trails, letters from the past...",Wistful folk song about nostalgia.,Forest Tales,2020,68
19,Midnight Freight,River Ash,blues,gritty,0.46,92,0.38,0.50,0.87,"Freight train at midnight, blues in the air...",Gritty blues about hard times.,Blues Nights,2017,66
20,Sunset Parade,Luna Brava,latin,celebratory,0.81,112,0.86,0.89,0.27,"Parade at sunset, celebrating life...",Celebratory Latin music for festivals.,Fiesta Beats,2023,77
21,Ocean Breeze,Aqua Waves,pop,relaxed,0.65,100,0.75,0.85,0.30,"Waves crashing on the shore, feeling free forever more...",A soothing pop track about beach relaxation.,Summer Vibes,2023,75
22,Urban Nights,City Lights,electronic,energetic,0.90,130,0.80,0.92,0.05,"City lights shining bright, dancing all night long...",An upbeat electronic song for nightlife.,Nightlife Chronicles,2024,80
